Osterweiterung,1994,4
Filosofie,1994,5
"schlanker Staat",1994,6
Peanuts,1994,7
bezahlbar,1994,8
Zukunftsministerium,1994,9
"rote Socken",1994,10
Sozialabbau,1993,1
"Standort Deutschland",1993,2
Blutskandal,1993,3
Amigo-Affäre,1993,4
"Pflege (Pflegeversicherung)",1993,5
umdenken,1993,6
"großer Lauschangriff",1993,7
Asylkompromiss,1993,8
Ostalgie,1993,9
Dino,1993,10
Politikverdrossenheit,1992,1
Fremdenhass,1992,2
Rassismus,1992,3
Rechtsruck,1992,4
Lichterkette,1992,5
Solidarpakt,1992,6
gaucken,1992,7
Maastricht,1992,8
"ethnische Säuberung",1992,9
Blauhelmeinsatz,1992,10
"outen, Outing",1992,11
"Erlanger Baby",1992,12
Besserwessi,1991,1
abwickeln,1991,2
"Kurzarbeit Null",1991,3
Ausländerhass,1991,4
Stasisyndrom,1991,5
Wohlstandmauer,1991,6
"chirurgische Kriegführung",1991,7
"Pax americana",1991,8
"Kein Blut für Öl",1991,9
Preußenfieber,1991,10
"Autodiät, Mülldiät",1991,11
Solidaritätszuschlag,1991,12
"die neuen Bundesländer",1990,1
"vereintes Deutschland",1990,2
2+4-Gespräche,1990,3
"polnische Westgrenze",1990,4
"sozial abfedern",1990,5
"menschliche Schutzschilde",1990,6
Verpackungsflut,1990,7
Verkehrsinfarkt,1990,8
"Tatortprinzip, Wohnortprinzip",1990,9
Reisefreiheit,1989,1
BRDDR,1989,2
Montagsdemonstrationen,1989,3
"chinesische Lösung",1989,4
Flüchtlingsstrom,1989,5
Begrüßungsgeld,1989,6
"runder Tisch",1989,7
multikulturell,1989,8
Mauerspecht,1989,9
Trabi,1989,10
Gesundheitsreform,1988,1
Robbensterben,1988,2
"Kälbermastskandal, Atommüllskandal",1988,3
Tiefflug,1988,4
"Reichskristallnacht, Reichspogromnacht",1988,5
"Europäischer Binnenmarkt",1988,6
"Aids, Kondom",1987,1
"Perestroika, Glasnost",1987,2
Waterkantgate,1987,3
Ozonloch,1987,4
Molkepulver,1987,5
Handlungsbedarf,1987,6
Kremlflieger,1987,7
Dienstleistungsabend,1987,8
Tschernobyl,1986,1
Havarie,1986,2
Super-Gau,1986,3
Historikerstreit,1986,4
Glykol,1985,1
SDI,1985,2
Eureka,1985,3
High-Tech,1985,4
"D 1",1985,5
Aids,1985,6
"Realo; Rambo",1985,7
Umweltauto,1984,1
Formaldehyd,1984,2
Neidsteuer,1984,3
Tempolimit,1984,4
Bananenrepublik,1984,5
Tiefkühlbaby,1984,6
"heißer Herbst",1983,1
Volksaushorchung,1983,2
Zündi,1983,3
Waldsterben,1983,4
Ellenbogengesellschaft,1982,1
Wende,1982,2
Mitte,1982,3
"Talfahrt der Wirtschaft",1982,4
Arbeitslosigkeit,1982,5
sparen,1982,6
Ausländer,1982,7
"Entrüstet euch!",1982,8
"Neue deutsche Welle",1982,9
Nulllösung,1981,1
Sommertheater,1981,2
(rett)bar,1981,3
Zweierkiste,1981,4
Schrägstrichehe,1981,5
draufsatteln,1981,6
Job-sharing,1981,7
Rasterfahndung,1980,1
Asylant,1980,2
Instandbesetzer,1980,3
Arbeitsbegräbnis,1980,4
Olympiaboykott,1980,5
"auf Probe",1980,6
Holocaust,1979,1
"Boat people",1979,2
Nachrüstung,1979,3
Ölschock,1979,4
alternativ,1979,5
"zum Anfassen",1979,6
"konspirative Wohnung",1978,1
"die Grünen",1978,2
Geisterfahrer,1978,3
Rooming-in,1978,4
"die Schlümpfe",1978,5
Disco,1978,6
Single,1978,7
Szene,1977,1
"Terrorismus, Terrorist",1977,2
Sympathisant,1977,3
Entsorgung,1977,4
Lauschangriff,1977,5
Black-out,1977,6
aufmüpfig,1971,1
Junktim,1971,2
Umweltschutz,1971,3
Nostalgie,1971,4
"heiße Höschen",1971,5
